"Epoch (UTC)",""
2013-02-14T00:00:00.797Z,0.066526
2013-02-14T00:00:11.656Z,NaN
2013-02-14T00:00:22.515Z,NaN
2013-02-14T00:00:33.374Z,NaN
2013-02-14T00:00:44.234Z,NaN
2013-02-14T00:00:55.093Z,0.000050406
2013-02-14T00:01:05.953Z,NaN
2013-02-14T00:01:16.812Z,NaN
2013-02-14T00:01:27.672Z,NaN
2013-02-14T00:01:38.532Z,NaN
2013-02-14T00:01:49.391Z,NaN
2013-02-14T00:02:00.251Z,NaN
2013-02-14T00:02:11.110Z,NaN
2013-02-14T00:02:21.970Z,NaN
2013-02-14T00:02:32.830Z,NaN
2013-02-14T00:02:43.690Z,NaN
2013-02-14T00:02:54.549Z,0.012665
2013-02-14T00:03:05.409Z,NaN
2013-02-14T00:03:16.269Z,0.020486
2013-02-14T00:03:27.129Z,NaN
2013-02-14T00:03:37.989Z,NaN
2013-02-14T00:03:48.849Z,NaN
2013-02-14T00:03:59.708Z,0.010337
2013-02-14T00:04:10.568Z,NaN
2013-02-14T00:04:21.428Z,NaN
2013-02-14T00:04:32.288Z,NaN
2013-02-14T00:04:43.147Z,NaN
2013-02-14T00:04:54.007Z,5.5873E-9
2013-02-14T00:05:04.867Z,0.0077849
2013-02-14T00:05:15.727Z,NaN
2013-02-14T00:05:26.586Z,NaN
2013-02-14T00:05:37.446Z,NaN
2013-02-14T00:05:48.306Z,NaN
2013-02-14T00:05:59.166Z,0.000036771
2013-02-14T00:06:10.025Z,NaN
2013-02-14T00:06:20.885Z,0.000011666
2013-02-14T00:06:31.744Z,0.012259
2013-02-14T00:06:42.604Z,NaN
2013-02-14T00:06:53.464Z,0.0024127
2013-02-14T00:07:04.323Z,0.0024548
2013-02-14T00:07:15.183Z,NaN
2013-02-14T00:07:26.042Z,NaN
2013-02-14T00:07:36.902Z,0.69831
2013-02-14T00:07:47.761Z,NaN
2013-02-14T00:07:58.621Z,NaN
2013-02-14T00:08:09.480Z,NaN
2013-02-14T00:08:20.339Z,NaN
2013-02-14T00:08:31.199Z,NaN
2013-02-14T00:08:42.058Z,NaN
2013-02-14T00:08:52.917Z,NaN
2013-02-14T00:09:03.776Z,0.18879
2013-02-14T00:09:14.636Z,NaN
2013-02-14T00:09:25.495Z,NaN
2013-02-14T00:09:36.354Z,NaN
2013-02-14T00:09:47.213Z,NaN
2013-02-14T00:09:58.072Z,NaN
2013-02-14T00:10:08.931Z,NaN
2013-02-14T00:10:19.790Z,NaN
2013-02-14T00:10:30.649Z,NaN
2013-02-14T00:10:41.508Z,NaN
2013-02-14T00:10:52.367Z,NaN
2013-02-14T00:11:03.226Z,NaN
2013-02-14T00:11:14.085Z,NaN
2013-02-14T00:11:24.943Z,NaN
2013-02-14T00:11:35.802Z,NaN
2013-02-14T00:11:46.661Z,NaN
2013-02-14T00:11:57.520Z,NaN
2013-02-14T00:12:08.378Z,NaN
2013-02-14T00:12:19.237Z,NaN
2013-02-14T00:12:30.095Z,NaN
2013-02-14T00:12:40.954Z,NaN
2013-02-14T00:12:51.812Z,NaN
2013-02-14T00:13:02.671Z,NaN
2013-02-14T00:13:13.529Z,NaN
2013-02-14T00:13:24.388Z,NaN
2013-02-14T00:13:35.246Z,NaN
2013-02-14T00:13:46.104Z,NaN
2013-02-14T00:13:56.962Z,NaN
2013-02-14T00:14:07.821Z,NaN
2013-02-14T00:14:18.679Z,NaN
2013-02-14T00:14:29.537Z,NaN
2013-02-14T00:14:40.395Z,NaN
2013-02-14T00:14:51.253Z,0.030008
2013-02-14T00:15:02.111Z,NaN
2013-02-14T00:15:12.969Z,NaN
2013-02-14T00:15:23.827Z,NaN
2013-02-14T00:15:34.685Z,NaN
2013-02-14T00:15:45.543Z,NaN
2013-02-14T00:15:56.401Z,NaN
2013-02-14T00:16:07.259Z,NaN
2013-02-14T00:16:18.117Z,NaN
2013-02-14T00:16:28.975Z,NaN
2013-02-14T00:16:39.832Z,0.14677
2013-02-14T00:16:50.690Z,0.0067114
2013-02-14T00:17:01.548Z,NaN
2013-02-14T00:17:12.406Z,NaN
2013-02-14T00:17:23.263Z,NaN
2013-02-14T00:17:34.121Z,NaN
2013-02-14T00:17:44.978Z,NaN
2013-02-14T00:17:55.836Z,NaN
2013-02-14T00:18:06.693Z,NaN
2013-02-14T00:18:17.551Z,NaN
2013-02-14T00:18:28.408Z,NaN
2013-02-14T00:18:39.266Z,NaN
2013-02-14T00:18:50.123Z,NaN
2013-02-14T00:19:00.981Z,NaN
2013-02-14T00:19:11.838Z,0.074154
2013-02-14T00:19:22.695Z,NaN
2013-02-14T00:19:33.553Z,0.11840
2013-02-14T00:19:44.410Z,NaN
2013-02-14T00:19:55.267Z,NaN
2013-02-14T00:20:06.125Z,NaN
2013-02-14T00:20:16.982Z,NaN
2013-02-14T00:20:27.839Z,NaN
2013-02-14T00:20:38.696Z,NaN
2013-02-14T00:20:49.554Z,NaN
2013-02-14T00:21:00.411Z,0.28526
2013-02-14T00:21:11.268Z,0.35635
2013-02-14T00:21:22.125Z,NaN
2013-02-14T00:21:32.982Z,0.095407
2013-02-14T00:21:43.839Z,NaN
2013-02-14T00:21:54.696Z,0.59774
2013-02-14T00:22:05.553Z,NaN
2013-02-14T00:22:16.410Z,0.061048
2013-02-14T00:22:27.267Z,0.25610
2013-02-14T00:22:38.124Z,0.23050
2013-02-14T00:22:48.981Z,NaN
2013-02-14T00:22:59.838Z,0.42782
2013-02-14T00:23:10.695Z,0.17591
2013-02-14T00:23:21.552Z,0.32557
2013-02-14T00:23:32.409Z,0.49137
2013-02-14T00:23:43.266Z,0.073837
2013-02-14T00:23:54.123Z,0.11464
2013-02-14T00:24:04.980Z,1.9630
2013-02-14T00:24:15.836Z,NaN
2013-02-14T00:24:26.693Z,0.37127
2013-02-14T00:24:37.550Z,0.96843
2013-02-14T00:24:48.407Z,0.98391
2013-02-14T00:24:59.264Z,0.51573
2013-02-14T00:25:10.120Z,1.7347
2013-02-14T00:25:20.977Z,2.3361
2013-02-14T00:25:31.834Z,0.23319
2013-02-14T00:25:42.691Z,0.56694
2013-02-14T00:25:53.547Z,1.3111
2013-02-14T00:26:04.404Z,1.5539
2013-02-14T00:26:15.261Z,1.1230
2013-02-14T00:26:26.117Z,NaN
2013-02-14T00:26:36.974Z,5.2844
2013-02-14T00:26:47.831Z,1.7079
2013-02-14T00:26:58.687Z,2.4239
2013-02-14T00:27:09.544Z,5.0097
2013-02-14T00:27:20.401Z,NaN
2013-02-14T00:27:31.257Z,3.0909
2013-02-14T00:27:42.114Z,NaN
2013-02-14T00:27:52.970Z,8.0489
2013-02-14T00:28:03.827Z,9.5035
2013-02-14T00:28:14.683Z,8.4251
2013-02-14T00:28:25.540Z,2.7109
2013-02-14T00:28:36.397Z,NaN
2013-02-14T00:28:47.253Z,4.9250
2013-02-14T00:28:58.110Z,6.4318
2013-02-14T00:29:08.966Z,5.7249
2013-02-14T00:29:19.822Z,7.2916
2013-02-14T00:29:30.679Z,NaN
2013-02-14T00:29:41.535Z,6.4824
2013-02-14T00:29:52.392Z,4.4617
2013-02-14T00:30:03.248Z,4.7849
2013-02-14T00:30:14.105Z,2.1792
2013-02-14T00:30:24.961Z,8.7664
2013-02-14T00:30:35.818Z,5.9621
2013-02-14T00:30:46.674Z,6.9293
2013-02-14T00:30:57.530Z,4.2752
2013-02-14T00:31:08.387Z,5.1306
2013-02-14T00:31:19.243Z,7.3378
2013-02-14T00:31:30.100Z,8.3132
2013-02-14T00:31:40.956Z,1.8518
2013-02-14T00:31:51.812Z,4.0381
2013-02-14T00:32:02.669Z,7.4020
2013-02-14T00:32:13.525Z,1.4831
2013-02-14T00:32:24.381Z,6.9016
2013-02-14T00:32:35.238Z,NaN
2013-02-14T00:32:46.094Z,4.8559
2013-02-14T00:32:56.950Z,3.5088
2013-02-14T00:33:07.807Z,4.3397
2013-02-14T00:33:18.663Z,4.7119
2013-02-14T00:33:29.519Z,3.5113
2013-02-14T00:33:40.376Z,5.7559
2013-02-14T00:33:51.232Z,3.7655
2013-02-14T00:34:02.088Z,4.3776
2013-02-14T00:34:12.944Z,3.0981
2013-02-14T00:34:23.801Z,2.0608
2013-02-14T00:34:34.657Z,9.8026
2013-02-14T00:34:45.513Z,3.0661
2013-02-14T00:34:56.369Z,0.43008
2013-02-14T00:35:07.225Z,1.9545
2013-02-14T00:35:18.082Z,2.9990
2013-02-14T00:35:28.938Z,3.2313
2013-02-14T00:35:39.794Z,2.3066
2013-02-14T00:35:50.650Z,2.3512
2013-02-14T00:36:01.507Z,1.2770
2013-02-14T00:36:12.363Z,2.3659
2013-02-14T00:36:23.219Z,4.4109
2013-02-14T00:36:34.075Z,1.5957
